,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
144,2984,10,F184,14.621993990529075,7.473627023439028,-44.39378162445515,62036.6416,,,False,,,702.8401703638501,528.27129292871,50027278
145,6488,3,F184,14.621993990867182,7.46483541553523,-44.30790745800336,62082.1699,,,False,,,713.6436449597554,-341.17401372399047,50027278
146,2204,6,F184,14.621993990616032,7.440344733420229,-44.34572983058074,62026.5067,,,False,,,796.1417678925977,-34.96930817238774,50027278
147,1047,15,F184,14.621993990965311,7.572937862456992,-44.34147379450177,62011.4842,,,False,,,782.3506869381936,-106.4361507420308,50027278
148,667,16,F184,14.621993990669791,7.5347307687754,-44.30446728680517,62006.55166,,,False,,,795.1715785631418,-28.92050474948644,50027278
149,2599,4,F184,14.621993990729765,7.577377348591711,-44.311385909475455,62031.6416,,,False,,,732.9542067641464,220.4560185222288,50027278
150,37281,8,F184,14.621993990705953,7.52879931045489,-44.32720026764496,62482.08,4.1265211,15782.9855,True,4.120104235551152,15876.48311268996,1.1003754827165555,1.0988689815074275,50027278
151,33819,12,F184,14.62199399081465,7.555059693915237,-44.35073135422399,62437.114,5.37265117,5008.83964,True,5.486728617877789,4509.252480454358,1.291264087535622,-5.344865622136585,50027278
152,34209,18,F184,14.621993990590646,7.523728076681898,-44.34167993237956,62442.181,4.57709095,10422.2435,True,4.617350894080914,10042.81915769366,1.1378861043740065,9.874399567266456,50027278
153,34588,5,F184,14.621993990832296,7.55375245597407,-44.35559763715855,62447.102,4.12067443,15868.2058,True,4.139897417939093,15589.673971032187,1.2754331325117354,-1.365420933679408,50027278
154,34593,3,F184,14.621993990867182,7.46483541553523,-44.30790745800336,62447.17,4.11530769,15946.8358,True,4.153396590524046,15397.044458595276,1.1698589152058667,-5.6546165224618,50027278
155,34978,10,F184,14.62199399082748,7.547453037461969,-44.36419466326874,62452.17,3.78343631,21648.2638,True,3.793851765047183,21441.50639918349,1.2303577431866528,4.203497269633181,50027278
156,35742,9,F184,14.62199399062244,7.493856575228635,-44.31614561506469,62462.091,3.62968596,24941.5369,True,3.65119816491468,24452.132138346005,1.150087955483671,-0.6615095345322671,50027278
157,35747,2,F184,14.621993990697426,7.504495035758647,-44.36340366277872,62462.159,3.62905646,24956.0021,True,3.6335490475179526,24852.860435585066,1.128659396890732,-0.1283727504564145,50027278
158,37280,18,F184,14.621993990660544,7.448616193264995,-44.35097179116045,62482.069,4.12627225,15786.6033,True,4.1610258608876745,15289.23146904047,1.232403798135204,-2.5724076753538343,50027278
159,38040,15,F184,14.621993990640323,7.54272082146154,-44.33370605767099,62491.934,4.3187869,13221.5642,True,4.32322258185585,13167.610369592388,1.328253054412772,0.0121877966346555,50027278
160,662,16,F184,14.621993990996478,7.163463889390818,-44.368964858442936,62006.48422,,,False,,,710.959209328023,162.16233044286747,50144007
161,8027,8,F184,14.621993990886216,7.229124010730873,-44.49732811118531,62102.159,,,False,,,820.1897375699914,363.2788905474413,50144007
162,7642,9,F184,14.621993991130184,7.1202951723521135,-44.36454378414413,62097.1586,,,False,,,736.8760825340357,162.16940520766855,50144007
163,6873,4,F184,14.621993990930005,7.168194832629606,-44.39533104510828,62087.1699,,,False,,,733.365816951006,55.24138661435711,50144007
164,6104,11,F184,14.62199399090848,7.1729269424266775,-44.455713737155904,62077.1811,,,False,,,702.6924298127849,-276.22123897768853,50144007
165,8796,5,F184,14.62199399085936,7.201139149880117,-44.44578204165298,62112.147,,,False,,,661.5994809126344,333.55314822757657,50144007
166,5324,8,F184,14.62199399096474,7.214797537877384,-44.40346607027027,62067.0462,,,False,,,696.7804990655518,326.16349635939525,50144007
167,2594,10,F184,14.621993990966011,7.2225884516441266,-44.38753498162629,62031.5741,,,False,,,659.5463246522074,450.7141428381244,50144007
168,2589,15,F184,14.621993990923954,7.232732867488298,-44.46577851498337,62031.5067,,,False,,,791.4198030469713,360.19651176012826,50144007
169,5714,5,F184,14.621993990848686,7.125121581798074,-44.4154183706306,62072.1137,,,False,,,767.6086011415094,153.48750994964234,50144007
170,42241,15,F184,14.621993990996703,7.264329366754865,-44.44272871788871,62546.473,4.40653742,12195.0231,True,4.428462799884233,11951.18254741545,1.0585706881622978,5.383052653612033,50144007
171,36901,5,F184,14.62199399085936,7.201139149880117,-44.44578204165298,62477.147,8.096325,407.631369,True,8.109096567334964,402.862991276842,1.2544541162564944,4.834392584005083,50144007
